#Title;Digilent WaveForms Oscilloscope Data
#Device Name;Analog Discovery
#Serial Number;SN:210244581280
#Software Version;2.7.5
Time (s);C1 (V)
1,3275;-8,3432436415632
1,335;-8,25982768475474
1,3425;-8,1163522390442
1,35;-8,17307508967395
1,3575;-8,24981776993773
1,365;-8,39662985392061
1,3725;-8,43333287491633
1,38;-8,62685789471195
1,3875;-8,65021436261831
1,395;-8,50340227863543
1,4025;-8,7803432552395
1,41;-8,41664968355464
1,4175;-8,47003589591205
1,425;-8,64687772434598
1,4325;-8,62018461816727
1,44;-8,68691738361403
1,4475;-9,01724457257552
1,455;-8,6835807453417
1,4625;-8,7102738515204
1,47;-8,80703636141821
1,4775;-8,93049197749472
1,485;-8,62352125643961
1,4925;-8,78701653178418
1,5;-8,65688763916299
1,5075;-8,92381870095005
1,515;-8,893788956499
1,5225;-8,7803432552395
1,53;-8,85374929723094
1,5375;-8,86042257377562
1,545;-8,83372946759691
